timestamp,vehicle_speed,steering_angle,brake_pressure,throttle,lane_offset,object_detected,object_distance,weather,time_of_day,scenario
0.0,60.5,2.3,0.0,0.4,0.1,pedestrian,45.2,clear,day,normal
0.1,61.2,2.1,0.0,0.42,0.12,none,0.0,clear,day,normal
0.2,59.8,2.5,0.0,0.38,0.09,car,120.5,clear,day,normal
0.3,58.3,3.1,0.1,0.2,0.15,pedestrian,18.3,rain,night,edge_case
0.4,30.2,8.5,0.6,0.0,0.45,pedestrian,8.2,rain,night,critical
0.5,25.1,9.2,0.8,0.0,0.52,pedestrian,5.1,rain,night,critical
0.6,62.1,1.8,0.0,0.45,0.08,none,0.0,clear,day,normal
0.7,63.5,1.5,0.0,0.47,0.06,car,200.3,clear,day,normal
0.8,61.8,2.0,0.0,0.43,0.1,none,0.0,clear,day,normal
0.9,120.5,15.2,0.0,0.9,0.8,car,12.3,fog,night,critical
1.0,115.3,18.1,0.2,0.7,0.95,car,8.1,fog,night,critical
1.1,60.2,2.2,0.0,0.41,0.11,none,0.0,clear,day,normal
1.2,59.5,2.4,0.0,0.39,0.13,pedestrian,55.0,clear,day,normal
1.3,58.8,2.6,0.0,0.37,0.14,none,0.0,clear,day,normal
1.4,0.5,0.1,0.9,0.0,0.02,pedestrian,2.1,rain,night,critical
1.5,61.0,2.0,0.0,0.42,0.1,none,0.0,clear,day,normal
1.6,62.3,1.9,0.0,0.44,0.09,car,180.2,clear,day,normal
1.7,60.8,2.1,0.0,0.41,0.11,none,0.0,clear,day,normal
1.8,59.2,2.3,0.0,0.38,0.12,none,0.0,clear,day,normal
1.9,61.5,2.0,0.0,0.43,0.1,pedestrian,38.5,cloudy,day,normal
